Date,Open,High,Low,Close,Volume
2020-01-02,296.24,300.60,295.19,300.35,33870100
2020-01-03,297.15,300.58,296.50,297.43,36580700
2020-01-06,293.79,299.96,292.75,299.80,29596800
2020-01-07,299.84,300.90,297.48,298.39,27877600
2020-01-08,297.16,304.44,297.16,303.19,33592000
2020-01-09,307.24,310.43,306.20,309.63,29707400
2020-01-10,310.06,312.67,308.25,310.33,27185300
2020-01-13,311.64,317.07,311.15,316.96,29024000
2020-01-14,316.70,317.57,312.17,312.68,28286400
2020-01-15,311.85,315.50,309.55,311.34,30480900
2020-01-16,313.59,315.70,312.09,315.24,27207300
2020-01-17,316.27,318.74,315.00,318.73,34454100
2020-01-21,317.19,319.02,316.00,316.57,22394300
2020-01-22,318.58,319.99,317.31,317.70,22903800
2020-01-23,317.92,319.56,315.65,319.23,26199400
2020-01-24,320.25,323.33,317.52,318.31,36326900
2020-01-27,310.06,311.77,304.88,308.95,38928100
2020-01-28,312.60,316.50,310.70,316.36,36660200
2020-01-29,324.45,327.85,321.38,324.34,35606500
2020-01-30,320.54,324.09,318.75,323.87,29421100
2020-01-31,320.93,322.68,316.40,309.51,42621200
2020-02-03,304.30,313.49,302.22,308.66,43496400
2020-02-04,315.31,319.64,313.63,318.85,34154100
2020-02-05,323.52,324.76,318.95,321.45,29706700
2020-02-06,322.57,325.22,320.26,325.21,26356400
2020-02-07,322.37,323.40,318.00,320.03,29421000
2020-02-10,314.18,321.55,313.85,321.55,27337200
2020-02-11,323.60,327.22,321.47,319.61,25834400
2020-02-12,321.47,327.20,321.08,327.20,27284300
2020-02-13,324.19,326.22,323.35,324.87,22490200
2020-02-14,324.74,326.69,323.54,324.95,22459800
2020-02-18,319.62,324.40,319.25,319.00,26212200
2020-02-19,320.17,323.40,318.97,323.62,20813700
2020-02-20,323.61,325.09,316.50,320.30,27218800
2020-02-21,318.62,320.45,317.00,313.05,29507100
2020-02-24,297.26,304.18,289.23,298.18,55548800
2020-02-25,300.95,302.53,286.13,288.08,51449600
2020-02-26,286.53,297.88,286.50,292.65,49678400
2020-02-27,281.10,286.00,272.26,273.52,80151400
2020-02-28,257.26,278.41,256.37,273.36,98856800
2020-03-02,282.28,301.44,277.72,298.81,85349300
2020-03-03,303.67,304.00,285.80,289.32,76299000
2020-03-04,296.44,303.40,293.13,302.74,54455800
2020-03-05,295.52,301.13,293.38,292.92,48185800
2020-03-06,282.00,290.82,276.22,289.03,56544200
2020-03-09,263.75,277.90,252.00,266.17,71523100
2020-03-10,277.14,286.44,269.37,285.34,71185600
2020-03-11,277.39,281.23,271.10,275.43,64094600
2020-03-12,255.94,270.00,246.00,248.23,108753100
2020-03-13,264.89,279.92,252.20,277.97,92853800
